"Name";"Season";"Club";"Position";"Apps";"Minutes Played";"Distance Run (km)";"Player of the Match";"Goals";"Assists";"xG";"Shots on Target";"Shots";"Penalties Taken";"Penalties Scored";"Successful Passes";"Attempted Passes";"Pass%";"Key Passes";"Successful Crosses";"Attempted Crosses";"Cross%";"Chances Created";"Successful Headers";"Attempted Headers";"Header%";"Key Headers";"Dribbles";"Tackles Won";"Attempted Tackles";"Tackle%";"Key Tackles";"Interceptions";"Clearances";"Mistakes Leading to Goals";"Yellow Cards";"Red Cards";"Fouls";"Fouls Against";"Offsides";"Average Rating";"Acc";"Aer";"Agg";"Agi";"Ant";"Bal";"Bra";"Cmd";"Com";"Cmp";"Cnt";"Cor";"Cro";"Dec";"Det";"Dri";"Ecc";"Fin";"Fir";"Fla";"Fre";"Han";"Hea";"Jum";"Kic";"Ldr";"Lon";"L Th";"Mar";"Nat";"OtB";"1v1";"Pac";"Pas";"Pen";"Pos";"Pun";"Ref";"TRO";"Sta";"Str";"Tck";"Tea";"Tec";"Thr";"Vis";"Wor"
"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®";"1.0";"Athênai F.C.";"D/WB/M (R)";2;180;27,7;0;0;0;0;0;0;0;0;93;103;179,43;1;2;23;11,76;1;11;13;169,04;0;1;1;2;100;0;4;7;0;0;0;9;0;1;6,17;13;1;7;13;10;10;6;1;1;9;7;8;9;8;7;10;1;10;9;8;7;1;7;9;1;8;9;5;9;20;9;1;13;10;5;9;1;1;1;20;10;8;9;9;1;9;10
"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®";"1.0";"Athênai F.C.";"WB/M (R)";8;720;105,6;0;1;1;0,43;2;5;0;0;349;383;733,75;9;7;67;77,83;5;53;58;733,33;3;27;16;19;700;1;22;48;0;0;0;4;6;1;7,15;13;1;7;13;10;10;6;1;1;9;7;8;9;8;7;10;1;10;9;8;7;1;7;9;1;8;9;5;9;20;9;1;13;10;5;9;1;1;1;20;10;8;9;9;1;9;10
"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®";"2.0";"Athênai F.C.";"WB/M (R)";14;1260;186,6;0;0;1;0,29;2;5;0;0;686;756;1264,95;19;22;112;209,72;4;53;69;1048,41;0;46;17;21;750;2;32;41;0;3;0;27;31;5;6,83;13;5;7;13;10;10;6;5;5;9;7;8;9;8;7;10;5;10;9;8;7;5;7;9;5;8;9;5;9;20;9;5;13;10;5;9;5;5;5;20;10;8;9;9;5;9;10
"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®";"3.0";"Sydney City";"D/WB (L)";16;1425;232,7;2;0;5;0,9;2;13;0;0;630;724;1377,13;52;44;165;403,87;17;79;129;956,31;3;39;32;37;1250;3;72;62;0;7;0;38;19;4;7,3;15;5;5;10;6;5;5;5;5;10;10,5;5;15,25;10,13;5,25;15;5;5;5;5;5;5;5;5;5;5;5;5;15;20;12;5;15;11,88;5;15,25;5;5;5;20;5;15;6;10;5;5;15
"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®";"4.0";"AS Paris";"D/WB (L)";20;1800;288,2;1;0;2;0,09;0;2;0;0;929;1040;1782,75;44;42;230;364,08;13;74;121;1225,48;3;79;34;44;1483,34;2;68;91;0;1;0;18;15;6;7;15;5;5;10;6;5;5;5;5;10;12;5;16;11;6;15;5;5;5;5;5;5;5;5;5;5;5;5;15;20;12;5;15;12;5;16;5;5;5;20;5;15;6;10;5;5;15
"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®";"5.0";"F.C. Kaapstad";"D/WB (L)";7;630;100,7;1;0;4;0,92;4;7;0;0;328;365;631,43;12;6;33;100;4;17;29;473,34;0;20;24;27;521,67;1;30;27;0;3;0;14;6;0;7,21;15;5;5;10;6;5;5;5;5;10;12;5;16;11;6;15;5;5;5;5;5;5;5;5;5;5;5;5;15;20;12;5;15;12;5;16;5;5;5;20;5;15;6;10;5;5;15
"A Singular Tub of FazeBerry ® GFuel ® Energy Formula - The Official Drink of ESports ®";"6.0";"F.C. Kaapstad";"D/WB (L)";10;900;151,4;0;0;2;0,29;2;4;0;0;374;425;876,98;28;29;108;285,32;10;39;62;616,58;2;31;43;47;918,06;0;28;37;0;4;0;24;13;8;7,21;15;5;5;10;6;5;5;5;5;10;12;5;16;11;6;15;5;5;5;5;5;5;5;5;5;5;5;5;15;20;12;5;15;12;5;16;5;5;5;20;5;15;6;10;5;5;15
"AJ Williams";"10.0";"Red Star Laos";"D (RLC)";14;1260;158,9;0;0;0;0,43;1;4;0;0;837;866;1353,12;1;0;2;0;0;141;206;980,25;8;2;17;19;1000;1;57;123;2;5;0;18;2;0;6,8;14;5;13;14;12;13;13;5;5;12;13;5;5;13;13;11;5;5;11;5;5;5;13;10,57;5;7;5;5;10,57;20;8;5;16;13;5;13;5;5;5;20;10;10,57;13;10,57;5;11;13
"AJ Williams";"11.0";"CF Catalunya";"D (RLC)";0,5;25;2,7;0;0;0;0;0;0;0;0;34;34;100;0;0;0;NA;0;3;4;75;1;0;1;1;100;0;1;4;0;0;0;0;0;0;7,1;14;5;13;14;12;13;11;5;5;12;13;5;5;13;13;11;5;5;11;5;5;5;13;11;5;7;5;5;11;20;8;5;16;13;5;13;5;5;5;20;10;11;13;11;5;11;13
"AJ Williams";"12.0";"Inter London";"D (RLC)";14;1260;189,6;1;0;3;0,07;0;1;0;0;952;1071;1250,29;26;23;48;475;10;64;86;1060,8;1;4;39;47;1031,55;1;34;41;1;3;0;24;4;6;7,09;13,71;5;13;13,71;11,79;12,79;13;5;5;12;13;5;5;13;13;10,93;5;5;10,93;5;5;5;13;10,93;5;7;5;5;10,93;20;7,93;5;15,57;12,79;5;13;5;5;5;20;10;10,93;13;10,93;5;10,86;13
